"Estacion","Fecha inicial","Fecha final","VViento","O3","DViento","PLiquida","HAire10","CO","NO2","P","PM2.5","SO2","PM10","RGlobal","TAire10"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-08-03","","0.60416667","31.94166667","175.3125","0.0","78.375","757.66666667","18.57083333","591.89166667","15.97083333","","29.37083333","171.83333333","18.89583333"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-08-02","","0.83333333","20.27916667","157.03125","0.0","75.08333333","778.30869565","23.17058824","592.40416667","11.85833333","","26.45416667","251.95833333","18.09583333"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-08-01","","1.32083333","20.55","133.125","0.0","74.875","841.22083333","17.36666667","592.32916667","11.93333333","","26.225","246.25","18.00416667"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-07-31","","1.37083333","19.5125","148.125","0.0","74.20833333","742.66666667","9.70833333","591.6875","7.875","","17.7875","231.25","19.35416667"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-07-30","","0.9","29.20416667","135.0","0.0","78.04166667","854.15833333","12.13529412","591.4125","9.16666667","","19.225","248.25","18.60833333"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-07-29","","0.99166667","33.99583333","131.25","0.025","77.33333333","803.09166667","9.15833333","591.60416667","7.45833333","","16.3625","265.54166667","18.39583333"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-07-28","","1.20416667","38.10416667","135.0","0.475","79.70833333","733.28333333","16.24444444","591.5875","7.3375","4.30416667","15.75","240.375","18.475"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-07-27","","0.43333333","20.2","192.1875","0.0125","80.75","770.97391304","7.995","591.2375","10.62727273","2.57727273","21.98636364","170.08333333","18.04166667"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-07-26","","0.18333333","30.5625","155.625","0.15125","86.41666667","809.48333333","14.075","591.16666667","18.3875","2.14583333","31.275","68.16666667","17.41666667"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-07-25","","0.60416667","48.2625","150.0","0.0","78.04166667","665.52916667","10.0875","591.32916667","13.99166667","2.0625","27.40833333","172.375","18.6125"
"SAN ANTONIO DE PEREIRA MONITOREO CONTINUO","2023-07-24","","0.89583333","45.54166667","149.0625","0.0","75.04166667","620.5125","5.76666667","591.95","11.075","1.79166667","22.54166667","259.45833333","19.13333333"
